image_id,K,selector_a,selector_b,jaccard
544,16,vision_cls_attention,llm_attention,0.10344827586206896
544,16,vision_cls_attention,logit_concept,0.0
544,16,vision_cls_attention,attention_logit_fusion,0.10344827586206896
544,16,vision_cls_attention,random_seed_0,0.06666666666666667
544,16,vision_cls_attention,random_seed_1,0.0
544,16,vision_cls_attention,random_seed_2,0.03225806451612903
544,16,llm_attention,logit_concept,0.03225806451612903
544,16,llm_attention,attention_logit_fusion,0.5238095238095238
544,16,llm_attention,random_seed_0,0.0
544,16,llm_attention,random_seed_1,0.0
544,16,llm_attention,random_seed_2,0.0
544,16,logit_concept,attention_logit_fusion,0.23076923076923078
544,16,logit_concept,random_seed_0,0.03225806451612903
544,16,logit_concept,random_seed_1,0.0
544,16,logit_concept,random_seed_2,0.0
544,16,attention_logit_fusion,random_seed_0,0.0
544,16,attention_logit_fusion,random_seed_1,0.0
544,16,attention_logit_fusion,random_seed_2,0.0
544,16,random_seed_0,random_seed_1,0.0
544,16,random_seed_0,random_seed_2,0.0
544,16,random_seed_1,random_seed_2,0.06666666666666667
544,32,vision_cls_attention,llm_attention,0.0847457627118644
544,32,vision_cls_attention,logit_concept,0.0847457627118644
544,32,vision_cls_attention,attention_logit_fusion,0.12280701754385964
544,32,vision_cls_attention,random_seed_0,0.06666666666666667
544,32,vision_cls_attention,random_seed_1,0.03225806451612903
544,32,vision_cls_attention,random_seed_2,0.03225806451612903
544,32,llm_attention,logit_concept,0.0847457627118644
544,32,llm_attention,attention_logit_fusion,0.23076923076923078
544,32,llm_attention,random_seed_0,0.06666666666666667
544,32,llm_attention,random_seed_1,0.015873015873015872
544,32,llm_attention,random_seed_2,0.0
544,32,logit_concept,attention_logit_fusion,0.6
544,32,logit_concept,random_seed_0,0.015873015873015872
544,32,logit_concept,random_seed_1,0.015873015873015872
544,32,logit_concept,random_seed_2,0.015873015873015872
544,32,attention_logit_fusion,random_seed_0,0.04918032786885246
544,32,attention_logit_fusion,random_seed_1,0.0
544,32,attention_logit_fusion,random_seed_2,0.015873015873015872
544,32,random_seed_0,random_seed_1,0.0
544,32,random_seed_0,random_seed_2,0.015873015873015872
544,32,random_seed_1,random_seed_2,0.10344827586206896
