estimand,metric_scale,stage,contrast_type,selection_method,target,grouping,omitted_group,leave_one_group_out_estimate,full_equal_group_estimate,change_from_full
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,100,0.05893040858069023,0.06239802908399702,-0.0034676205033067897
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,101,0.05232103358069023,0.06239802908399702,-0.01007699550330679
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,102,0.07553631135846801,0.06239802908399702,0.013138282274470996
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,103,0.06010600381878547,0.06239802908399702,-0.0022920252652115503
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,104,0.048333310366404515,0.06239802908399702,-0.014064718717592503
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,105,0.05069798670569023,0.06239802908399702,-0.01170004237830679
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,107,0.06516180739021404,0.06239802908399702,0.0027637783062170254
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,111,0.07106003821031986,0.06239802908399702,0.008662009126322846
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,117,0.07361308604982603,0.06239802908399702,0.011215056965829008
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,118,0.07070992246957912,0.06239802908399702,0.008311893385582102
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,120,0.06457415858069022,0.06239802908399702,0.0021761294966932063
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,2,0.05801026969180134,0.06239802908399702,-0.004387759392195677
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,294,0.06379368983069023,0.06239802908399702,0.0013956607466932072
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,295,0.06105974885846801,0.06239802908399702,-0.0013382802255290094
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,299,0.06880888080291245,0.06239802908399702,0.006410851718915429
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,305,0.07064462959518299,0.06239802908399702,0.008246600511185968
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,306,0.06313874191402356,0.06239802908399702,0.000740712830026545
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,308,0.061521554414023565,0.06239802908399702,-0.0008764746699734538
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,309,0.07149261922883837,0.06239802908399702,0.009094590144841354
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,310,0.05211493239021404,0.06239802908399702,-0.010283096693782981
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,311,0.05974176925777356,0.06239802908399702,-0.002656259826223459
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,312,0.054097819294975945,0.06239802908399702,-0.008300209789021074
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,5,0.06274985302513468,0.06239802908399702,0.00035182394113766197
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,7,0.06474607078307118,0.06239802908399702,0.0023480416990741618
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,8,0.06380150233069024,0.06239802908399702,0.0014034732466932168
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,96,0.055582607654764304,0.06239802908399702,-0.006815421429232714
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,104,0.026919367283950616,0.026463543388999117,0.00045582389495149936
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,108,0.03039580468822519,0.026463543388999117,0.003932261299226074
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,11,0.02339072960903416,0.026463543388999117,-0.003072813779964958
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,123,0.03526267428191428,0.026463543388999117,0.00879913089291516
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,125,0.021656046220876263,0.026463543388999117,-0.004807497168122853
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,130,0.016358496066555275,0.026463543388999117,-0.010105047322443841
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,131,0.02945326958527685,0.026463543388999117,0.0029897261962777318
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,150,0.03029234236488211,0.026463543388999117,0.0038287989758829938
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,159,0.02313341314078019,0.026463543388999117,-0.003330130248218925
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,194,0.023810551543427434,0.026463543388999117,-0.0026529918455716825
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,195,0.025826873680149447,0.026463543388999117,-0.0006366697088496694
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,25,0.024985210603186203,0.026463543388999117,-0.0014783327858129136
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,36,0.03244470610300346,0.026463543388999117,0.00598116271400434
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,56,0.029257433586860667,0.026463543388999117,0.0027938901978615503
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,65,0.030638993497923046,0.026463543388999117,0.00417545010892393
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,67,0.034629091627361226,0.026463543388999117,0.00816554823836211
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,73,0.03181504628723139,0.026463543388999117,0.005351502898232274
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,78,0.02384429679522881,0.026463543388999117,-0.002619246593770306
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,92,0.026174860753953748,0.026463543388999117,-0.0002886826350453689
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_0,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,99,0.008981660060161977,0.026463543388999117,-0.01748188332883714
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,1,attribute_id,100,0.09208735526416686,0.09395836109802369,-0.0018710058338568258
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,1,attribute_id,101,0.08037815387527797,0.09395836109802369,-0.013580207222745722
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,1,attribute_id,102,0.10677268512527797,0.09395836109802369,0.012814324027254284
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,1,attribute_id,103,0.0942568741133732,0.09395836109802369,0.0002985130153495136
selector_effect::raw_yes_minus_no::vision.late::vision_cls_attention::target_1,raw_yes_minus_no,vision.late,selector_effect_by_target,vision_cls_attention,1,attribute_id,104,0.07988931458956368,0.09395836109802369,-0.014069046508460012
