attribute_group,stage,attributes,seeds,auroc_mean,auroc_sd,f1_mean,f1_sd
has_bill_shape,vision.early,4,3,0.5510788754065346,0.0070467220608969915,0.20030014704937305,0.017010758174238486
has_bill_shape,vision.middle,4,3,0.6531096792529105,0.007341527447245661,0.28385071016649965,0.012872839403752986
has_bill_shape,vision.late,4,3,0.8282006214344046,0.004362523645186062,0.3924702289179625,0.002083333630469915
has_bill_shape,vision.final,4,3,0.8277477382609333,0.003373072559986619,0.4182440280156998,0.013943056910605474
has_bill_shape,projector.output,4,3,0.8490011233841814,0.0030797254156017437,0.4955748522965504,0.03491157184221356
has_bill_shape,llm.early,4,3,0.8287016210074731,0.002550838714029272,0.44647517053511093,0.006368289327195394
has_bill_shape,llm.middle,4,3,0.7885855129030995,0.005711835500710203,0.3764608971304161,0.009456467162724198
has_bill_shape,llm.late,4,3,0.7488846044333051,0.0029129605595857016,0.3332468529665359,0.015614663753857578
has_bill_shape,llm.final,4,3,0.7533239892400851,0.0016836035459397052,0.3731154427582999,0.01819363750695488
has_breast_color,vision.early,5,3,0.5331063199348639,0.0026086023376745908,0.2660726676948208,0.01278803175047259
has_breast_color,vision.middle,5,3,0.5745383739528305,0.005942293705759434,0.2692913246218759,0.0073332320674813845
has_breast_color,vision.late,5,3,0.5916462221204416,0.0014956452240570738,0.2793176729986932,0.01504531416644371
has_breast_color,vision.final,5,3,0.6153005152166294,0.0014964844947558766,0.30724662272489744,0.019881449259991378
has_breast_color,projector.output,5,3,0.5546472910620192,0.0027808817318667792,0.2618990511064979,0.014694115662273428
has_breast_color,llm.early,5,3,0.5688964498122878,0.002630036773645029,0.26133164228446376,0.005584203563394187
has_breast_color,llm.middle,5,3,0.5740055644651998,0.002007780254307945,0.2878947268503581,0.0018705509502396362
has_breast_color,llm.late,5,3,0.5810349180176426,0.0016546787193043788,0.30262731098102635,0.011137596973559493
has_breast_color,llm.final,5,3,0.5966234897242537,0.0014471237586413828,0.3319897729227468,0.023519301035297226
has_crown_color,vision.early,6,3,0.5928295178737911,0.001928256422274409,0.2256652153657397,0.015650205557803613
has_crown_color,vision.middle,6,3,0.6321458233580077,0.0022982538467668737,0.20137373758722837,0.014161391838402072
has_crown_color,vision.late,6,3,0.6883866539293242,0.0006781669706596837,0.4134447580035519,0.00904761798041844
has_crown_color,vision.final,6,3,0.694908518924541,0.0030481254646807137,0.45281412748479277,0.01363293118075569
has_crown_color,projector.output,6,3,0.658260889068736,0.0013441528430437391,0.472744550899616,0.008181253147953605
has_crown_color,llm.early,6,3,0.6809543835761747,0.002028326324509134,0.4733725645965421,0.006878067231653318
has_crown_color,llm.middle,6,3,0.6813072249276939,0.0024309959761591214,0.46342841061924644,0.00288430245855321
has_crown_color,llm.late,6,3,0.6977934775962841,0.003022098109793269,0.41424630394098677,0.02349627065871137
has_crown_color,llm.final,6,3,0.6946570794612416,0.0008180755590206794,0.42295894957708785,0.0051803145989843665
has_head_pattern,vision.early,7,3,0.5099460782647235,0.003699523255943039,0.18256068050124938,0.0048854735688299185
has_head_pattern,vision.middle,7,3,0.5732937226738383,0.004353376651600308,0.10959163445814857,0.01999413244853906
has_head_pattern,vision.late,7,3,0.6243859663871002,0.004192716729311162,0.2625757083460165,0.015810468259351746
has_head_pattern,vision.final,7,3,0.6154904022322184,0.002276890280911101,0.2566179690732452,0.009630874394472156
has_head_pattern,projector.output,7,3,0.5811921068486151,0.0017923047248849843,0.2389926178484796,0.005926033073504362
has_head_pattern,llm.early,7,3,0.5924251775804907,0.0009943156723024298,0.2584152572830469,0.010413103910440688
has_head_pattern,llm.middle,7,3,0.6105389914458177,0.0030831218995436504,0.2648641765301061,0.00982500625152771
has_head_pattern,llm.late,7,3,0.6066213056820777,0.0027275992589847137,0.2610666054315658,0.005930171727657341
has_head_pattern,llm.final,7,3,0.6170660140697439,0.0003933005153514262,0.26548090173643757,0.00430206671888173
has_wing_pattern,vision.early,4,3,0.61570300649164,0.003208420521056721,0.3069181051876726,0.002717232897104023
has_wing_pattern,vision.middle,4,3,0.5465217567069419,0.00044545187506853865,0.2545348378681712,0.005052225526824623
has_wing_pattern,vision.late,4,3,0.6505841575764947,0.00035843015415118923,0.4153462432906597,0.005168163197167314
has_wing_pattern,vision.final,4,3,0.6504497122951785,0.002379011334126447,0.36877263420816025,0.01427593953170607
has_wing_pattern,projector.output,4,3,0.6883322497945742,0.0017817919216756753,0.4107814407379034,0.004302431612400439
has_wing_pattern,llm.early,4,3,0.703488928648571,0.0014288812981209196,0.4449773258852543,0.0016060375739560789
has_wing_pattern,llm.middle,4,3,0.7230274532477599,0.0007568363206467861,0.4172078951520638,0.01775821821650138
has_wing_pattern,llm.late,4,3,0.7114489845332758,0.0009972785670258688,0.4241542896862103,0.006478472831767926
has_wing_pattern,llm.final,4,3,0.7154122023853825,0.007045924296535713,0.45142166061827027,0.02471997599584705
