attribute_id,attribute_name,attribute_group,stage,validation_positive,validation_negative,auroc_mean,auroc_sd,f1_mean,f1_sd
2,has_bill_shape::dagger,has_bill_shape,llm.early,4,72,0.8715277777777778,0.01041666666666663,0.20454545454545456,0.03936479108111084
2,has_bill_shape::dagger,has_bill_shape,llm.final,4,72,0.7106481481481481,0.014456013885181489,0.24074074074074073,0.016037507477489613
2,has_bill_shape::dagger,has_bill_shape,llm.late,4,72,0.6840277777777778,0.009186636496752018,0.0,0.0
2,has_bill_shape::dagger,has_bill_shape,llm.middle,4,72,0.7800925925925926,0.01712806549415364,0.0,0.0
2,has_bill_shape::dagger,has_bill_shape,projector.output,4,72,0.8958333333333334,0.010416666666666685,0.3055555555555555,0.12108052620946315
2,has_bill_shape::dagger,has_bill_shape,vision.early,4,72,0.6319444444444444,0.015911721163041105,0.23351648351648352,0.08364471070130951
2,has_bill_shape::dagger,has_bill_shape,vision.final,4,72,0.7847222222222222,0.01202813060811716,0.125,0.0
2,has_bill_shape::dagger,has_bill_shape,vision.late,4,72,0.8449074074074074,0.01747646860016382,0.25555555555555554,0.00962250448649376
2,has_bill_shape::dagger,has_bill_shape,vision.middle,4,72,0.5787037037037037,0.022591691314748977,0.21481481481481482,0.01283000598199167
5,has_bill_shape::hooked_seabird,has_bill_shape,llm.early,3,73,0.9863013698630136,0.0,0.5454545454545454,0.0
5,has_bill_shape::hooked_seabird,has_bill_shape,llm.final,3,73,0.9634703196347032,0.0,0.4743589743589744,0.02220577958421636
5,has_bill_shape::hooked_seabird,has_bill_shape,llm.late,3,73,0.9665144596651446,0.0026363025990393547,0.5,0.0
5,has_bill_shape::hooked_seabird,has_bill_shape,llm.middle,3,73,0.9726027397260274,0.0,0.5454545454545454,0.0
5,has_bill_shape::hooked_seabird,has_bill_shape,projector.output,3,73,0.9863013698630136,0.0,0.5454545454545454,0.0
5,has_bill_shape::hooked_seabird,has_bill_shape,vision.early,3,73,0.5388127853881278,0.012081056214906826,0.0,0.0
5,has_bill_shape::hooked_seabird,has_bill_shape,vision.final,3,73,0.9817351598173516,0.0,0.4743589743589744,0.02220577958421636
5,has_bill_shape::hooked_seabird,has_bill_shape,vision.late,3,73,0.9817351598173516,0.0,0.42857142857142855,0.0
